Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,DHI,DNI,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Wind Speed,
2018,1,1,0,0,4.2,0,0,0,4,0,0,0,98.76,152.91,0.56,998,2.8000000000000003,N/A
2018,1,1,0,15,4.1000000000000005,0,0,0,4,0,0,0,99.45,150.21,0.55,998,2.8000000000000003,N/A
2018,1,1,0,30,4.1000000000000005,0,0,0,4,0,0,0,99.45,147.43,0.54,998,2.7,N/A
2018,1,1,0,45,4,0,0,0,3.8000000000000003,0,0,0,98.9,144.59,0.53,998,2.7,N/A
2018,1,1,1,0,4,0,0,0,3.8000000000000003,0,0,0,98.9,141.70000000000002,0.52,998,2.6,N/A
2018,1,1,1,15,3.9000000000000004,0,0,0,3.8000000000000003,0,0,0,99.60000000000001,138.79,0.51,998,2.6,N/A
2018,1,1,1,30,3.9000000000000004,0,0,0,3.8000000000000003,0,0,0,99.60000000000001,135.86,0.5,998,2.5,N/A
2018,1,1,1,45,3.8000000000000003,0,0,0,3.6,0,0,0,98.91,132.92000000000002,0.49,998,2.5,N/A
2018,1,1,2,0,3.8000000000000003,0,0,0,3.6,0,0,0,98.91,129.96,0.48,998,2.4000000000000004,N/A
2018,1,1,2,15,3.7,0,0,0,3.6,0,0,0,99.61,127.01,0.46,998,2.4000000000000004,N/A
2018,1,1,2,30,3.7,0,0,0,3.6,0,0,0,99.61,124.06,0.45,998,2.4000000000000004,N/A
2018,1,1,2,45,3.6,0,0,0,3.5,0,0,0,98.97,121.12,0.44,998,2.4000000000000004,N/A
2018,1,1,3,0,3.6,0,0,0,3.5,0,0,0,98.97,118.19,0.43,998,2.3000000000000003,N/A
2018,1,1,3,15,3.5,0,0,0,3.5,0,0,0,99.67,115.28,0.41000000000000003,998,2.3000000000000003,N/A
2018,1,1,3,30,3.5,0,0,0,3.5,0,0,0,99.67,112.39,0.4,998,2.3000000000000003,N/A
2018,1,1,3,45,3.5,0,0,0,3.2,0,0,0,98.09,109.51,0.39,998,2.2,N/A
2018,1,1,4,0,3.4000000000000004,0,0,0,3.2,0,0,0,98.79,106.67,0.37,998,2.2,N/A
2018,1,1,4,15,3.4000000000000004,0,0,0,3.2,0,0,0,98.79,103.85000000000001,0.36,998,2.2,N/A
2018,1,1,4,30,3.4000000000000004,0,0,0,3.2,0,0,0,98.79,101.07000000000001,0.34,998,2.2,N/A
2018,1,1,4,45,3.5,0,0,0,3,0,0,0,96.75,98.33,0.33,998,2.1,N/A
2018,1,1,5,0,3.5,0,0,0,3,0,0,0,96.75,95.63,0.32,998,2.1,N/A
2018,1,1,5,15,3.9000000000000004,0,0,0,3,0,0,0,94.07000000000001,92.98,0.31,998,2.2,N/A
2018,1,1,5,30,4.3,0,0,0,3,0,0,0,91.47,89.83,0.29,998,2.2,N/A
2018,1,1,5,45,4.7,17,265,28,3.4000000000000004,17,265,28,91.24,87.56,0.28,998,2.2,N/A
2018,1,1,6,0,5.1000000000000005,26,399,59,3.4000000000000004,26,399,59,88.83,85.18,0.27,999,2.3000000000000003,N/A
2018,1,1,6,15,5.6000000000000005,33,501,96,3.4000000000000004,33,501,96,85.8,82.83,0.25,999,2.3000000000000003,N/A
2018,1,1,6,30,6.1000000000000005,40,579,135,3.4000000000000004,40,579,135,82.89,80.52,0.24,999,2.4000000000000004,N/A
2018,1,1,6,45,6.6000000000000005,44,650,176,3.6,44,650,176,80.94,78.3,0.23,999,2.4000000000000004,N/A
2018,1,1,7,0,7.1000000000000005,48,698,215,3.6,48,698,215,78.22,76.16,0.21,999,2.4000000000000004,N/A
2018,1,1,7,15,7.6000000000000005,52,738,253,3.6,52,738,253,75.60000000000001,74.12,0.2,999,2.4000000000000004,N/A
2018,1,1,7,30,8.200000000000001,55,770,290,3.6,55,770,290,72.58,72.19,0.19,999,2.3000000000000003,N/A
2018,1,1,7,45,8.700000000000001,56,802,325,3.8000000000000003,56,802,325,71.24,70.38,0.17,999,2.3000000000000003,N/A
2018,1,1,8,0,9.3,58,820,356,3.8000000000000003,58,820,356,68.42,68.69,0.16,999,2.2,N/A
2018,1,1,8,15,9.8,60,838,385,3.8000000000000003,60,838,385,66.1,67.15,0.15,998,2.2,N/A
2018,1,1,8,30,10.3,62,853,412,3.8000000000000003,62,853,412,63.93,65.76,0.13,998,2.1,N/A
2018,1,1,8,45,10.8,68,849,433,3.2,68,849,433,59.24,64.53,0.12,998,2.1,N/A
2018,1,1,9,0,11.3,69,860,453,3.2,69,860,453,57.31,63.47,0.11,998,2,N/A
2018,1,1,9,15,11.600000000000001,70,868,469,3.2,70,868,469,56.18,62.59,0.1,998,2,N/A
2018,1,1,9,30,12,71,874,482,3.2,71,874,482,54.72,61.9,0.09,998,2,N/A
2018,1,1,9,45,12.3,71,878,491,2.6,71,878,491,51.64,61.4,0.08,998,2,N/A
2018,1,1,10,0,12.600000000000001,71,881,497,2.6,71,881,497,50.58,61.1,0.07,997,2,N/A
2018,1,1,10,15,12.8,71,882,499,2.6,71,882,499,49.93,61.01,0.06,997,1.9000000000000001,N/A
2018,1,1,10,30,12.9,71,881,497,2.6,71,881,497,49.6,61.11,0.06,997,1.9000000000000001,N/A
2018,1,1,10,45,13.100000000000001,71,878,491,2.6,71,878,491,48.92,61.42,0.06,997,1.9000000000000001,N/A
2018,1,1,11,0,13.200000000000001,71,874,482,2.6,71,874,482,48.6,61.92,0.06,997,1.9000000000000001,N/A
2018,1,1,11,15,13.200000000000001,70,868,469,2.6,70,868,469,48.6,62.620000000000005,0.07,997,1.8,N/A
2018,1,1,11,30,13.3,69,859,452,2.6,69,859,452,48.29,63.51,0.07,997,1.7000000000000002,N/A
2018,1,1,11,45,13.3,78,810,426,2.7,78,810,426,48.81,64.58,0.08,997,1.7000000000000002,N/A
2018,1,1,12,0,13.3,77,797,403,2.7,77,797,403,48.81,65.81,0.09,997,1.6,N/A
2018,1,1,12,15,13.200000000000001,75,780,377,2.7,75,780,377,49.120000000000005,67.21000000000001,0.1,997,1.5,N/A
2018,1,1,12,30,13.100000000000001,72,759,347,2.7,72,759,347,49.45,68.76,0.12,997,1.4000000000000001,N/A
2018,1,1,12,45,13,70,733,315,3.6,70,733,315,52.85,70.44,0.13,997,1.3,N/A
2018,1,1,13,0,12.9,66,703,280,3.6,66,703,280,53.19,72.26,0.14,997,1.1,N/A
2018,1,1,13,15,12.5,62,667,244,3.6,62,667,244,54.6,74.19,0.15,997,1,N/A
2018,1,1,13,30,12.200000000000001,58,626,207,3.6,58,626,207,55.69,76.24,0.17,997,0.9,N/A
2018,1,1,13,45,11.9,52,577,168,3.6,52,577,168,56.99,78.38,0.18,997,0.8,N/A
2018,1,1,14,0,11.5,46,510,129,3.6,46,510,129,58.51,80.61,0.19,997,0.7000000000000001,N/A
2018,1,1,14,15,11.4,38,424,90,3.6,38,424,90,58.84,82.92,0.21,996,0.7000000000000001,N/A
2018,1,1,14,30,11.200000000000001,28,313,54,3.6,28,313,54,59.620000000000005,85.28,0.22,996,0.7000000000000001,N/A
2018,1,1,14,45,11.100000000000001,17,183,25,2.1,17,183,25,53.68,87.66,0.23,996,0.7000000000000001,N/A
2018,1,1,15,0,10.9,0,0,0,2.1,0,0,0,54.39,89.93,0.25,996,0.6000000000000001,N/A
